id;Format;P;Q;Antican
547;[2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0], [-3, -1, 0, 0, 1, 3], [8, 1, 0, -1, 0, -5]];[[0, 1, 0, 1, 1, 0], [1, -1, 0, 2, -1, 1], [-1, -2, -5, 0, 1, -2]];[2, 0, -4]
548;[2, 2, 2], 0, 1;[[-3, -1, 1, 2, 0, 0], [-3, -1, 0, 0, 1, 1], [8, 1, 0, -3, 0, -2]];[[0, -1, 1, -1, -2, 1], [0, 2, 2, 0, 1, 1], [1, -1, 0, 1, 0, 2]];[-1, 4, 1]
549;[2, 2, 2], 0, 1;[[-3, -1, 1, 2, 0, 0], [-3, -1, 0, 0, 1, 2], [8, 1, 0, -3, 0, -3]];[[1, -2, -1, 1, -1, 1], [1, 1, 0, 2, 2, 1], [0, 0, -2, 1, 2, -1]];[-2, 3, 0]
550;[2, 2, 2], 0, 1;[[-3, -1, 1, 3, 0, 0], [-3, -1, 0, 0, 1, 1], [8, 1, 0, -5, 0, -2]];[[1, -1, -1, 1, 1, 1], [0, -2, -2, 0, -1, -1], [1, -2, 1, 0, -2, 3]];[0, -4, 0]
551;[2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0], [-3, -1, 0, 0, 1, 1], [8, 2, 0, -1, 0, -2]];[[0, 1, 1, 0, 0, 1], [0, 1, -1, 2, 1, 0], [1, -1, 0, 2, 0, 2]];[2, 2, 2]
552;[2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0], [-3, -1, 0, 0, 1, 2], [8, 2, 0, -1, 0, -3]];[[0, 1, -1, 2, 1, 0], [0, 2, 1, 1, 0, 1], [1, -2, 0, 1, -1, 1]];[2, 3, -1]
553;[2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0], [-3, -1, 0, 0, 1, 3], [8, 2, 0, -1, 0, -5]];[[0, 1, -1, 2, 1, 0], [1, -1, 1, 1, -1, 1], [0, -3, -2, -1, 0, -1]];[2, 0, -4]
554;[2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0], [-3, -1, 0, 0, 1, 4], [8, 2, 0, -1, 0, -7]];[[0, 1, -1, 2, 1, 0], [1, 0, 2, 1, -1, 1], [1, -3, -2, 2, 0, 0]];[2, 1, -2]
555;[2, 2, 2], 0, 1;[[-3, -1, 1, 1, 0, 0], [-3, -1, 0, 0, 1, 5], [8, 2, 0, -1, 0, -9]];[[0, 1, -1, 2, 1, 0], [1, -3, -2, 2, 0, 0], [1, 1, 3, 1, -1, 1]];[2, -2, 2]
556;[2, 2, 2], 0, 1;[[-3, -2, 1, 1, 0, 0], [-3, -2, 0, 0, 1, 1], [8, 5, 0, -1, 0, -2]];[[1, -1, 0, 1, 0, 1], [0, 0, 2, -2, -1, 1], [0, 1, 1, 1, 0, 2]];[1, 0, 3]
557;[2, 2, 2], 0, 1;[[-3, -2, 1, 1, 0, 0], [-3, -2, 0, 0, 1, 3], [8, 5, 0, -1, 0, -5]];[[-1, 1, 2, -3, -1, 0], [-1, 2, -1, 2, 1, 0], [0, 1, 2, 0, -1, 1]];[-1, 2, 1]
558;[2, 2, 2], 0, 1;[[-3, -2, 1, 1, 0, 0], [-3, -2, 0, 0, 1, 4], [8, 5, 0, -1, 0, -7]];[[-1, 1, 2, -3, -1, 0], [-1, 2, -1, 2, 1, 0], [1, 0, 2, 1, -1, 1]];[-1, 2, 1]
559;[2, 2, 2], 0, 1;[[-3, -2, 1, 1, 0, 0], [-3, -2, 0, 0, 1, 5], [8, 5, 0, -1, 0, -9]];[[-1, 1, 2, -3, -1, 0], [-1, 2, -1, 2, 1, 0], [0, 2, 3, 1, -1, 1]];[-1, 2, 2]
560;[2, 2, 2], 0, 1;[[-3, -2, 1, 1, 0, 0], [-3, -2, 0, 0, 1, 6], [8, 5, 0, -1, 0, -11]];[[-1, 1, 2, -3, -1, 0], [-1, 2, -1, 2, 1, 0], [1, 1, 3, 2, -1, 1]];[-1, 2, 2]
561;[2, 2, 2], 0, 1;[[-3, -3, 1, 1, 0, 0], [-3, -3, 0, 0, 1, 1], [8, 7, 0, -2, 0, -3]];[[1, -1, 1, -1, -1, 1], [1, 0, 2, 1, 1, 2], [2, -2, -1, 1, 0, 0]];[0, 4, 0]
562;[2, 2, 2], 0, 1;[[-3, -3, 1, 1, 0, 0], [-3, -3, 0, 0, 1, 1], [8, 7, 0, -2, 0, -2]];[[0, 0, 1, -1, -1, 1], [-2, 2, 1, -1, 0, 0], [1, 0, 1, 2, 1, 2]];[0, 0, 4]
563;[2, 2, 2], 0, 1;[[-3, -3, 1, 1, 0, 0], [-3, -3, 0, 0, 1, 1], [8, 7, 0, -1, 0, -4]];[[-1, 1, 1, -1, 0, 0], [-1, 2, 1, 2, 2, 1], [-2, 1, -2, -1, -1, -2]];[0, 4, -4]
564;[2, 2, 2], 0, 1;[[-3, -3, 1, 1, 0, 0], [-3, -3, 0, 0, 1, 1], [8, 7, 0, -1, 0, -3]];[[-1, 1, 1, -1, 0, 0], [1, -1, 2, -2, -1, 1], [0, 1, 2, 1, 1, 2]];[0, 0, 4]
565;[2, 2, 2], 0, 1;[[-3, -3, 1, 1, 0, 0], [-3, -3, 0, 0, 1, 1], [8, 7, 0, -1, 0, -2]];[[-1, 1, 1, -1, 0, 0], [1, -1, 1, -1, -1, 1], [0, 1, 2, 1, 0, 3]];[0, 0, 4]
566;[2, 2, 2], 0, 1;[[-3, -3, 1, 1, 0, 0], [-3, -3, 0, 0, 1, 2], [8, 7, 0, -1, 0, -5]];[[-1, 1, 1, -1, 0, 0], [0, 1, 1, 2, 1, 1], [-3, 2, -3, 0, 1, -2]];[0, 3, -2]
567;[2, 2, 2], 0, 1;[[-3, -3, 1, 1, 0, 0], [-3, -3, 0, 0, 1, 2], [8, 7, 0, -1, 0, -3]];[[-1, 1, 1, -1, 0, 0], [1, -1, 2, -2, -2, 1], [0, 1, 2, 1, -1, 2]];[0, -1, 2]
568;[2, 2, 2], 0, 1;[[-3, -3, 1, 1, 0, 0], [-3, -3, 0, 0, 1, 3], [8, 7, 0, -1, 0, -8]];[[-1, 1, 1, -1, 0, 0], [1, 0, 3, 0, 0, 1], [-1, 3, 1, 5, 3, 1]];[0, 2, 6]
569;[2, 2, 2], 0, 1;[[-3, -3, 1, 1, 0, 0], [-3, -3, 0, 0, 1, 3], [8, 7, 0, -1, 0, -5]];[[-1, 1, 1, -1, 0, 0], [0, 1, 1, 2, 0, 1], [-3, 2, -3, 0, 3, -2]];[0, 2, 0]
570;[2, 2, 2], 0, 1;[[-3, -3, 1, 1, 0, 0], [-3, -3, 0, 0, 1, 4], [8, 7, 0, -1, 0, -7]];[[-1, 1, 1, -1, 0, 0], [1, 0, 2, 1, -1, 1], [-2, 4, 1, 5, 2, 1]];[0, 1, 5]
571;[2, 2, 2], 0, 1;[[-3, -3, 1, 2, 0, 0], [-3, -3, 0, 0, 1, 1], [8, 7, 0, -3, 0, -2]];[[0, 1, 1, 1, 1, 2], [1, -1, -2, 1, 1, -1], [2, -2, 0, 0, -1, 1]];[3, -1, 0]
572;[2, 2, 2], 0, 1;[[-3, -3, 1, 2, 0, 0], [-3, -3, 0, 0, 1, 2], [8, 7, 0, -3, 0, -3]];[[-1, 2, 1, 1, 1, 1], [0, 0, -2, 1, 2, -1], [2, -1, -1, 2, 1, 1]];[2, 0, 1]
573;[2, 2, 2], 0, 1;[[-3, -3, 1, 3, 0, 0], [-3, -3, 0, 0, 1, 1], [8, 7, 0, -5, 0, -2]];[[0, 1, 0, 1, 2, 1], [2, -2, 0, 0, -1, 1], [-1, 1, 3, -1, -2, 2]];[2, 0, 2]
574;[2, 2, 2], 0, 1;[[-3, -4, 1, 1, 0, 0], [-3, -4, 0, 0, 1, 1], [8, 9, 0, -1, 0, -2]];[[-1, 1, 0, 1, 1, 0], [-1, 1, 2, -1, 0, 1], [1, 0, 1, 2, 0, 3]];[1, 1, 4]
575;[2, 2, 2], 0, 1;[[-3, -4, 1, 1, 0, 0], [-3, -4, 0, 0, 1, 2], [8, 9, 0, -1, 0, -3]];[[-1, 1, 0, 1, 1, 0], [-1, 1, 3, -2, -1, 1], [1, 0, 1, 2, -1, 2]];[1, 0, 2]
576;[2, 2, 2], 0, 1;[[-3, -4, 1, 1, 0, 0], [-3, -4, 0, 0, 1, 3], [8, 9, 0, -1, 0, -5]];[[-1, 1, 0, 1, 1, 0], [1, 0, 0, 3, 0, 1], [0, -1, -5, 1, 2, -2]];[1, 2, -1]
577;[2, 2, 2], 0, 1;[[-3, -4, 1, 1, 0, 0], [-3, -4, 0, 0, 1, 4], [8, 9, 0, -1, 0, -7]];[[-1, 1, 0, 1, 1, 0], [1, 0, 2, 1, -1, 1], [3, -2, -5, 6, 1, 0]];[1, 1, 2]
578;[2, 2, 2], 0, 1;[[-3, -5, 1, 1, 0, 0], [-3, -5, 0, 0, 1, 1], [8, 11, 0, -1, 0, -2]];[[-1, 1, 1, 1, 1, 1], [0, 0, -2, 2, 1, -1], [2, -1, 0, 1, -1, 2]];[2, 0, 2]
579;[2, 2, 2], 0, 1;[[-3, -5, 1, 1, 0, 0], [-3, -5, 0, 0, 1, 2], [8, 11, 0, -1, 0, -3]];[[-1, 1, 2, 0, 0, 1], [-1, 1, -1, 3, 2, 0], [1, 0, 1, 2, -1, 2]];[1, 2, 2]
580;[2, 2, 2], 0, 1;[[-3, -6, 1, 1, 0, 0], [-3, -6, 0, 0, 1, 2], [8, 13, 0, -1, 0, -3]];[[2, -1, 0, 0, -2, 1], [-1, 1, 1, 2, 1, 1], [0, 0, 3, -3, -2, 1]];[0, 2, -1]
581;[2, 1, 1], 1, 1;[[-4, -1, 2, 0, 0], [-4, -1, 0, 2, 0], [-5, -3, 1, 1, 1]];[[1, -2, 1, 1, -3], [-1, 0, -2, -2, -1], [0, 0, 1, 0, 1]];[-4, -2, 0]
582;[2, 1, 1], 1, 1;[[-4, -3, 2, 0, 0], [-4, -3, 0, 2, 0], [-5, -5, 1, 1, 1]];[[1, 0, 2, 2, 1], [-2, 2, -1, -1, 2], [1, 0, 0, 1, 0]];[2, 2, 0]
583;[2, 1, 1], 1, 1;[[-4, -5, 2, 0, 0], [-4, -5, 0, 2, 0], [-5, -7, 1, 1, 1]];[[1, 0, 2, 2, 1], [-2, 2, 1, 1, 2], [1, 0, 0, 1, 0]];[2, 2, 0]
584;[2, 2, 1], 1, 1;[[-4, -1, 1, 1, 0, 0], [-4, -1, 0, 0, 2, 0], [-1, -2, 0, -1, 1, 1]];[[0, 0, -1, 1, 0, 1], [1, -2, 0, 2, 1, -2], [-1, 0, -2, -2, -2, -1]];[1, -2, -4]
585;[2, 2, 1], 1, 1;[[-4, -1, 1, 1, 0, 0], [-4, -1, 0, 0, 3, 0], [-1, -2, 0, -1, 1, 1]];[[0, 0, -1, 1, 0, 1], [1, -1, 1, 2, 1, 0], [0, -3, -4, 1, -1, -4]];[1, 1, -8]
586;[2, 2, 1], 1, 1;[[-4, -1, 1, 1, 0, 0], [-4, -1, 0, 0, 3, 0], [-1, -2, 0, -1, 2, 1]];[[0, 0, -1, 1, 0, 1], [1, -1, 1, 2, 1, -1], [0, -3, -3, 0, -1, -4]];[1, 0, -8]
587;[2, 2, 1], 1, 1;[[-4, -1, 1, 1, 0, 0], [-4, -1, 0, 0, 5, 0], [-1, -2, 0, -1, 3, 1]];[[0, 0, -1, 1, 0, 1], [1, 1, 3, 2, 1, 2], [2, -3, 1, 4, 1, -3]];[1, 5, -3]
588;[2, 2, 2], 1, 1;[[-4, -1, 1, 1, 0, 0, 0], [-4, -1, 0, 0, 1, 1, 0], [-1, -2, 0, -1, 0, -1, 1]];[[0, 0, 1, -1, -1, 1, 0], [0, 0, 0, 0, -1, 1, 1], [0, 1, 1, 0, 1, 0, 2], [1, -2, 1, 1, 0, 2, 0]];[0, 1, 4, 1]
589;[2, 2, 2], 1, 1;[[-4, -1, 2, 1, 0, 0, 0], [-4, -1, 0, 0, 1, 1, 0], [-1, -2, 1, -1, 0, -1, 1]];[[0, 1, 1, -1, 1, 0, 0], [0, 0, 0, 0, -1, 1, 1], [0, 0, 1, -2, -1, 1, -2], [1, -1, 1, 1, 2, 1, 0]];[1, 1, -3, 2]
590;[2, 2, 2], 1, 1;[[-4, -1, 3, 1, 0, 0, 0], [-4, -1, 0, 0, 1, 1, 0], [-1, -2, 2, -1, 0, -1, 1]];[[0, 0, 0, 0, -1, 1, 1], [0, 1, 1, -2, 0, 1, -1], [0, -1, 0, -1, -2, 1, -2], [-1, 1, -1, 0, -1, -2, 1]];[1, -1, -4, 0]
591;[2, 2, 2], 1, 1;[[-4, -1, 3, 3, 0, 0, 0], [-4, -1, 0, 0, 1, 1, 0], [-1, -2, 2, 1, 0, -1, 1]];[[0, 0, -1, 1, 1, -1, 0], [0, 0, -1, 1, 0, 0, 1], [1, -1, 0, 1, 1, 2, 0], [0, -3, -2, 1, -3, 0, -3]];[0, 1, 1, -7]
592;[2, 2, 1], 1, 1;[[-4, -3, 1, 1, 0, 0], [-4, -3, 0, 0, 2, 0], [-1, -2, 0, -1, 1, 1]];[[0, 0, -1, 1, 0, 1], [1, 0, 2, 2, 2, 1], [-2, 2, 0, -2, -1, 1]];[1, 4, 0]
593;[2, 2, 1], 1, 1;[[-4, -3, 1, 1, 0, 0], [-4, -3, 0, 0, 3, 0], [-1, -2, 0, -1, 1, 1]];[[0, 0, -1, 1, 0, 1], [0, 1, 2, 1, 1, 2], [3, -3, 1, 2, 1, -2]];[1, 4, -1]
594;[2, 2, 1], 1, 1;[[-4, -3, 1, 1, 0, 0], [-4, -3, 0, 0, 3, 0], [-1, -2, 0, -1, 2, 1]];[[0, 0, -1, 1, 0, 1], [0, 1, 2, 1, 1, 1], [3, -3, 0, 3, 1, -2]];[1, 3, -1]
595;[2, 2, 1], 1, 1;[[-4, -3, 1, 1, 0, 0], [-4, -3, 0, 0, 5, 0], [-1, -2, 0, -1, 3, 1]];[[0, 0, -1, 1, 0, 1], [-2, 1, -2, -3, -1, 0], [-1, 3, 4, 1, 1, 3]];[1, -2, 6]
596;[2, 2, 2], 1, 1;[[-4, -3, 1, 1, 0, 0, 0], [-4, -3, 0, 0, 1, 1, 0], [-1, -2, 0, -1, 0, -1, 1]];[[1, -1, 0, 1, 1, 0, 0], [1, -1, 1, 0, 0, 1, 0], [0, 0, 0, 0, -1, 1, 1], [1, -2, -3, 1, -2, 0, -2]];[1, 1, 1, -5]
597;[2, 2, 2], 1, 1;[[-4, -3, 2, 1, 0, 0, 0], [-4, -3, 0, 0, 1, 1, 0], [-1, -2, 1, -1, 0, -1, 1]];[[-1, 1, 0, -1, -1, 0, 0], [0, 0, 0, 0, -1, 1, 1], [1, -1, 1, -1, 0, 1, -2], [0, 1, 2, -1, 2, 1, 0]];[-1, 1, -2, 2]
598;[2, 2, 2], 1, 1;[[-4, -3, 3, 1, 0, 0, 0], [-4, -3, 0, 0, 1, 1, 0], [-1, -2, 2, -1, 0, -1, 1]];[[-1, 1, 0, -1, -1, 0, 0], [0, 0, 0, 0, -1, 1, 1], [0, 1, 1, 0, 2, 1, 1], [-1, 1, -1, 2, 1, -2, 3]];[-1, 1, 3, 4]
599;[2, 2, 2], 1, 1;[[-4, -3, 3, 3, 0, 0, 0], [-4, -3, 0, 0, 1, 1, 0], [-1, -2, 2, 1, 0, -1, 1]];[[0, 0, 1, -1, -1, 1, 0], [0, 0, 0, 0, -1, 1, 1], [0, 1, 1, 0, 2, 1, 1], [3, -3, 0, 1, 0, 3, -1]];[0, 1, 3, 0]
600;[2, 2, 1], 1, 1;[[-4, -5, 1, 1, 0, 0], [-4, -5, 0, 0, 2, 0], [-1, -2, 0, -1, 1, 1]];[[0, 0, -1, 1, 0, 1], [1, 0, 2, 2, 2, 1], [2, -2, -2, 0, -1, -1]];[1, 4, -2]
601;[2, 2, 1], 1, 1;[[-4, -5, 1, 1, 0, 0], [-4, -5, 0, 0, 3, 0], [-1, -2, 0, -1, 1, 1]];[[0, 0, -1, 1, 0, 1], [2, -1, 2, 1, 1, 0], [-3, 3, 3, 0, 1, 2]];[1, 2, 3]
602;[2, 2, 1], 1, 1;[[-4, -5, 1, 1, 0, 0], [-4, -5, 0, 0, 3, 0], [-1, -2, 0, -1, 2, 1]];[[0, 0, -1, 1, 0, 1], [-2, 1, -1, -2, -1, 0], [-3, 3, 2, 1, 1, 2]];[1, -2, 3]
603;[2, 2, 1], 1, 1;[[-4, -5, 1, 1, 0, 0], [-4, -5, 0, 0, 5, 0], [-1, -2, 0, -1, 3, 1]];[[0, 0, -1, 1, 0, 1], [0, -1, -3, -2, -1, -1], [-5, 4, 1, -1, 0, 2]];[1, -3, 1]
604;[2, 2, 2], 1, 1;[[-4, -5, 1, 1, 0, 0, 0], [-4, -5, 0, 0, 1, 1, 0], [-1, -2, 0, -1, 0, -1, 1]];[[0, 0, 1, -1, -1, 1, 0], [0, 0, 0, 0, -1, 1, 1], [1, -1, -1, 0, -1, 0, -1], [-3, 2, -1, -1, -2, 0, 0]];[0, 1, -2, -3]
605;[2, 2, 2], 1, 1;[[-4, -5, 2, 1, 0, 0, 0], [-4, -5, 0, 0, 1, 1, 0], [-1, -2, 1, -1, 0, -1, 1]];[[-1, 1, 1, -1, 0, 1, 0], [0, 0, 0, 0, -1, 1, 1], [-1, 1, 0, 1, 1, 0, 2], [2, -1, 1, 1, 2, 1, 1]];[0, 1, 3, 4]
606;[2, 2, 2], 1, 1;[[-4, -5, 3, 1, 0, 0, 0], [-4, -5, 0, 0, 1, 1, 0], [-1, -2, 2, -1, 0, -1, 1]];[[0, 0, 0, 0, -1, 1, 1], [-1, 1, 0, 1, 1, 0, 2], [2, -1, 1, 0, 1, 2, 0], [1, -1, -1, 2, 0, -1, 2]];[1, 3, 2, 3]
607;[2, 2, 2], 1, 1;[[-4, -5, 3, 3, 0, 0, 0], [-4, -5, 0, 0, 1, 1, 0], [-1, -2, 2, 1, 0, -1, 1]];[[0, 0, 1, -1, -1, 1, 0], [0, 0, 0, 0, -1, 1, 1], [-2, 1, 0, -1, -2, -1, 0], [-3, 3, 1, 0, 2, 1, 2]];[0, 1, -2, 3]
608;[2, 2, 1], 0, 1;[[-4, -1, 1, 1, 0], [-4, -1, 0, 0, 3], [1, 0, 0, -1, 2]];[[1, -1, 0, 3, 1], [0, -3, -1, -2, -1]];[1, -4]
609;[2, 2, 2], 1, 1;[[-4, -1, 1, 1, 0, 0, 0], [-4, -1, 0, 0, 1, 1, 0], [3, -1, 0, -1, 0, -2, 1]];[[0, 0, -1, 1, 0, 0, 1], [0, 1, 1, 0, 1, 0, 1], [0, 0, 1, -1, -1, 1, 1], [1, -1, 1, 2, 2, 1, 0]];[1, 3, 1, 3]
610;[2, 2, 2], 1, 1;[[-4, -1, 1, 1, 0, 0, 0], [-4, -1, 0, 0, 1, 1, 0], [3, -1, 0, -1, 0, -1, 1]];[[0, 0, 1, -1, -1, 1, 0], [0, 0, 0, 0, -1, 1, 1], [0, 1, 1, 0, 1, 0, 1], [1, -1, 1, 2, 1, 2, 0]];[0, 1, 3, 3]
611;[2, 2, 2], 1, 1;[[-4, -3, 1, 1, 0, 0, 0], [-4, -3, 0, 0, 1, 1, 0], [3, 1, 0, -1, 0, -2, 1]];[[1, -1, 1, 0, 0, 1, 0], [0, 0, -1, 1, 0, 0, 1], [0, 0, 1, -1, -1, 1, 1], [-1, 2, 2, 0, 2, 0, 1]];[1, 1, 1, 4]
612;[2, 2, 2], 1, 1;[[-4, -3, 1, 1, 0, 0, 0], [-4, -3, 0, 0, 1, 1, 0], [3, 1, 0, -1, 0, -1, 1]];[[0, 0, 1, -1, -1, 1, 0], [0, 0, 0, 0, -1, 1, 1], [-1, 1, 0, -1, -1, 0, 1], [0, 1, 2, 1, 2, 1, 1]];[0, 1, 0, 5]
613;[2, 2, 2], 0, 1;[[-4, -3, 1, 2, 0, 0], [-4, -3, 0, 0, 1, 2], [3, 1, 0, -1, 0, -1]];[[1, -1, -1, 1, -1, 1], [1, 0, 0, 2, 2, 1], [-1, 0, -2, -1, 0, -2]];[-1, 2, -2]
614;[2, 2, 2], 1, 1;[[-4, -5, 1, 1, 0, 0, 0], [-4, -5, 0, 0, 1, 1, 0], [3, 3, 0, -1, 0, -2, 1]];[[-1, 1, 1, 0, 1, 0, 0], [0, 0, -1, 1, 0, 0, 1], [0, 0, 1, -1, -1, 1, 1], [2, -1, 2, 1, 2, 1, 0]];[1, 1, 1, 4]
615;[2, 2, 2], 1, 1;[[-4, -5, 1, 1, 0, 0, 0], [-4, -5, 0, 0, 1, 1, 0], [3, 3, 0, -1, 0, -1, 1]];[[-1, 1, 1, 0, 1, 0, 0], [0, 0, 0, 0, -1, 1, 1], [0, 0, 1, -1, 0, 0, -1], [2, -1, 2, 1, 1, 2, 0]];[1, 1, -1, 4]
616;[2, 2, 2], 0, 1;[[-4, -5, 1, 2, 0, 0], [-4, -5, 0, 0, 1, 2], [3, 3, 0, -1, 0, -1]];[[-1, 1, 1, 0, 1, 0], [1, 0, 0, 2, 2, 1], [-1, 0, -2, -1, 0, -2]];[1, 2, -2]
617;[2, 2, 2], 0, 1;[[-4, -1, 1, 1, 0, 0], [-4, -1, 0, 0, 1, 3], [9, 2, 0, -1, 0, -4]];[[0, 1, -1, 2, 1, 0], [1, -2, 1, 1, -1, 1], [0, -2, -2, 0, 1, -1]];[2, -1, -2]
618;[2, 2, 1], 1, 1;[[-5, -1, 1, 1, 0, 0], [-5, -1, 0, 0, 2, 0], [-2, -2, 0, -1, 1, 1]];[[0, 0, -1, 1, 0, 1], [1, -1, 2, 2, 2, 0], [0, 2, 2, 0, 1, 3]];[1, 2, 6]
619;[2, 2, 1], 1, 1;[[-5, -1, 1, 1, 0, 0], [-5, -1, 0, 0, 3, 0], [-2, -2, 0, -1, 2, 1]];[[0, 0, -1, 1, 0, 1], [1, -2, 1, 2, 1, -2], [-1, -1, -4, -2, -2, -2]];[1, -2, -6]
620;[2, 2, 1], 1, 1;[[-5, -1, 1, 1, 0, 0], [-5, -1, 0, 0, 4, 0], [-2, -2, 0, -1, 3, 1]];[[0, 0, -1, 1, 0, 1], [1, -1, 2, 2, 1, -1], [0, -4, -4, 0, -1, -5]];[1, 0, -10]
621;[2, 2, 1], 1, 1;[[-5, -3, 1, 1, 0, 0], [-5, -3, 0, 0, 2, 0], [-2, -2, 0, -1, 1, 1]];[[1, -1, 1, 1, 1, 0], [0, 0, -1, 1, 0, 1], [-1, 3, 3, 1, 2, 3]];[1, 1, 7]
622;[2, 2, 1], 1, 1;[[-5, -3, 1, 1, 0, 0], [-5, -3, 0, 0, 3, 0], [-2, -2, 0, -1, 2, 1]];[[0, 0, -1, 1, 0, 1], [0, 1, 2, 1, 1, 1], [3, -4, 1, 2, 1, -2]];[1, 3, -2]
623;[2, 2, 1], 1, 1;[[-5, -3, 1, 1, 0, 0], [-5, -3, 0, 0, 4, 0], [-2, -2, 0, -1, 3, 1]];[[0, 0, -1, 1, 0, 1], [-2, 2, -2, -2, -1, 1], [1, -3, -3, -1, -1, -2]];[1, 0, -5]
624;[2, 2, 1], 0, 1;[[-5, -7, 1, 2, 0], [-5, -7, 0, 0, 2], [-1, -2, 0, -1, 1]];[[-1, 1, 2, 0, 1], [4, -2, 0, 3, 3]];[1, 2]
625;[2, 2, 1], 0, 1;[[-5, -1, 1, 1, 0], [-5, -1, 0, 0, 2], [2, 0, 0, -1, 1]];[[0, 2, 1, 1, 1], [1, -3, -1, 3, 1]];[3, -1]
626;[2, 2, 1], 0, 1;[[-5, -1, 1, 1, 0], [-5, -1, 0, 0, 3], [2, 0, 0, -1, 2]];[[0, 3, 1, 2, 1], [1, -2, -1, 4, 1]];[4, 0]
627;[2, 2, 1], 0, 1;[[-5, -3, 1, 1, 0], [-5, -3, 0, 0, 2], [2, 1, 0, -1, 1]];[[-1, 1, 0, -2, -1], [-2, 4, 1, 1, 1]];[-1, 3]
628;[2, 2, 1], 0, 1;[[-5, -4, 1, 1, 0], [-5, -4, 0, 0, 2], [2, 1, 0, -1, 1]];[[0, 1, 1, 3, 2], [2, -3, -2, 0, -1]];[3, -2]
629;[2, 2, 1], 0, 1;[[-5, -4, 1, 1, 0], [-5, -4, 0, 0, 3], [2, 1, 0, -1, 1]];[[-1, 2, 2, 1, 1], [2, -1, 1, 5, 2]];[2, 3]
630;[2, 2, 1], 0, 1;[[-5, -4, 1, 1, 0], [-5, -4, 0, 0, 3], [2, 1, 0, -1, 2]];[[-1, 2, 1, 2, 1], [3, -3, -2, 5, 1]];[2, 1]
631;[2, 2, 1], 0, 1;[[-5, -4, 1, 1, 0], [-5, -4, 0, 0, 4], [2, 1, 0, -1, 1]];[[0, -1, -2, -2, -1], [-4, 4, 1, -5, -1]];[-2, -1]
632;[2, 2, 1], 0, 1;[[-5, -4, 1, 1, 0], [-5, -4, 0, 0, 5], [2, 1, 0, -1, 2]];[[-1, 0, -1, -4, -1], [-3, 5, 4, 1, 1]];[-2, 3]
633;[2, 2, 2], 0, 1;[[-5, -4, 5, 4, 0, 0], [-5, -4, 0, 0, 1, 1], [2, 1, 2, 1, 0, -1]];[[0, 1, 0, 1, 2, 2], [1, -1, 1, -1, -1, 2], [-2, 3, 2, -2, 1, 1]];[2, 0, 1]
634;[2, 2, 1], 0, 1;[[-5, -5, 1, 1, 0], [-5, -5, 0, 0, 2], [2, 1, 0, -1, 1]];[[-1, 1, 1, -1, 0], [-1, 3, 4, 6, 5]];[0, 7]
635;[2, 2, 1], 0, 1;[[-5, -5, 1, 1, 0], [-5, -5, 0, 0, 3], [2, 1, 0, -1, 2]];[[-1, 1, 1, -1, 0], [-2, 5, 4, 11, 5]];[0, 8]
636;[2, 2, 1], 0, 1;[[-5, -6, 1, 1, 0], [-5, -6, 0, 0, 2], [2, 1, 0, -1, 1]];[[0, 1, 2, 4, 3], [2, -2, -3, 1, -1]];[4, -1]
637;[2, 2, 1], 0, 1;[[-5, -6, 1, 1, 0], [-5, -6, 0, 0, 3], [2, 1, 0, -1, 2]];[[0, 1, 1, 5, 2], [3, -3, -4, 1, -1]];[3, -1]
638;[2, 2, 1], 0, 1;[[-5, -7, 1, 1, 0], [-5, -7, 0, 0, 3], [2, 1, 0, -1, 2]];[[-2, 1, 2, -5, -1], [-3, 3, 5, 1, 2]];[-2, 2]
639;[2, 2, 1], 0, 1;[[-5, -7, 1, 1, 0], [-5, -7, 0, 0, 2], [2, 2, 0, -1, 1]];[[-1, 1, 1, 1, 1], [5, -3, -2, 6, 2]];[1, 4]
640;[2, 2, 1], 0, 1;[[-5, -7, 1, 1, 0], [-5, -7, 0, 0, 3], [2, 2, 0, -1, 1]];[[-2, 1, 0, -3, -1], [-3, 3, 4, 2, 2]];[-2, 2]
641;[2, 2, 1], 0, 1;[[-5, -9, 1, 1, 0], [-5, -9, 0, 0, 2], [2, 2, 0, -1, 1]];[[-1, 1, 2, 2, 2], [4, -2, -3, 5, 1]];[2, 3]
642;[2, 2, 2], 1, 1;[[-5, -1, 1, 1, 0, 0, 0], [-5, -1, 0, 0, 1, 1, 0], [3, -1, 0, -1, 0, -1, 1]];[[0, 0, 1, -1, -1, 1, 0], [0, 0, 0, 0, -1, 1, 1], [0, 1, 1, 0, 1, 0, 1], [1, -2, 1, 2, 1, 2, -1]];[0, 1, 3, 1]
643;[2, 2, 2], 1, 1;[[-5, -3, 1, 1, 0, 0, 0], [-5, -3, 0, 0, 1, 1, 0], [3, 1, 0, -1, 0, -1, 1]];[[0, 0, 1, -1, -1, 1, 0], [0, 0, 0, 0, -1, 1, 1], [-1, 1, -1, -1, -1, -1, 0], [-1, 2, 1, 0, 1, 0, 1]];[0, 1, -2, 3]
